iter	RMSE
0	15.0603579
1	14.67912308
2	14.30450542
3	13.94571106
4	13.57834795
5	13.27354937
6	12.96000671
7	12.69933675
8	12.44902898
9	12.14716466
10	11.86304375
11	11.60060432
12	11.37805082
13	11.11952761
14	10.86670986
15	10.61795902
16	10.38838974
17	10.18505655
18	9.969736502
19	9.761941432
20	9.586762218
21	9.401768541
22	9.225318495
23	9.061363175
24	8.905767535
25	8.764242065
26	8.618339289
27	8.470735282
28	8.32877548
29	8.200767157
30	8.089754959
31	7.978563287
32	7.869986806
33	7.766711094
34	7.647826629
35	7.547887502
36	7.44542325
37	7.368109966
38	7.272912502
39	7.186945076
40	7.103657357
41	7.025276866
42	6.959981309
43	6.895490191
44	6.827994436
45	6.759389802
46	6.68478349
47	6.622704705
48	6.560215101
49	6.506158833
50	6.45354897
51	6.402494854
52	6.352462731
53	6.298137442
54	6.254352336
55	6.213920251
56	6.178801724
57	6.143253116
58	6.109170021
59	6.075380681
60	6.045159218
61	6.003531023
62	5.962488444
63	5.926557192
64	5.895234861
65	5.866889567
66	5.836804016
67	5.807353517
68	5.789281628
69	5.764162122
70	5.740362155
71	5.718550675
72	5.69607576
73	5.674386646
74	5.652742951
75	5.631148301
76	5.613317623
77	5.596844869
78	5.579655341
79	5.563338998
80	5.546811457
81	5.533760297
82	5.518942282
83	5.503746309
84	5.484815444
85	5.468458288
86	5.452634053
87	5.437002812
88	5.423017273
89	5.407062556
90	5.394527588
91	5.384339607
92	5.373534784
93	5.364427999
94	5.35345932
95	5.343031378
96	5.336116738
97	5.32714186
98	5.319709543
99	5.310744192
100	5.302114051
101	5.293381825
102	5.291015137
103	5.282898433
104	5.274018022
105	5.265464466
106	5.256904549
107	5.250758359
108	5.24505009
109	5.237182249
110	5.229152641
111	5.221410807
112	5.214380757
113	5.205504499
114	5.20129867
115	5.198429757
116	5.192516535
117	5.184500693
118	5.178609052
119	5.168075211
120	5.161647143
121	5.16054414
122	5.153994075
123	5.147680878
124	5.144304689
